user_id,total_play_seconds,artist_name,genre_name,track_name
1E22F751,300.6955,Coral Chiller,Chillout,Empowering Projections
6B51A2B,16.808,The Fabulous Ginn Sisters,Rock: Folk Rock,Hey Doll
FB829AEB,3.445586,Louie Loc,Rap,Put Yo Hood Up
545FAE90,2.0680259999999997,Alex Phratz Adriano,Dance,Safe
2A1486C9,0.0,Chemical Way,Metal/Punk: Thrash/Speed Metal,Hall of Meat
5713E5C8,217.813,Ecraze,Electronic,Shut Down
C3DEB61D,11.61,Hisham,World - Asian,Ma Go Tomar Tulona Ny
760A7832,41.685,Boechat,Hip Hop/Rap,Jumpman Freestyle
694C2EE9,248.0,Kenny Man,Latin,El Delincuente Más Grande
558B1061,24.587,Princess Ai Tai,Chinese Pop/Rock,Chao Ji Bao
D2251B72,0.0,Spooky Tooth,Rock,Tobacco Road
5515C865,2.616597,La Chanson Noire,Alternative/Indie,Fuck Me
3F91A541,2.605,Eclectic Shade,Hip-Hop/Rap: G-Funk,Superstar (feat. Stretch L Rod Porter & Cyborg Half Man Half Metal)
7C960045,212.584458,Wildson,R&B/Soul,I Am Better Off
AAB62F46,280.0065,Foster The People,Alternative,Loyal Like Sid & Nancy
37989C03,14.070135999999998,Gangsta Ern,Hip-Hop/Rap,New Music
D7FB50DA,6.0,Anuja,World,Ganesh Aarti
7283B50B,212.95,Mhoo,Indie,Far Away
1B3031C4,75.935,If You're Happy And You Know It,Christian,If You're Happy and You Know It
9FC97A60,1.0,Javon Jackson,Jazz,Love And Happiness
4F69246E,6.148,NeroTheHero,Hip Hop/Rap,Shirna
AD97E6ED,190.876735,Zetetics,Pop,Stop Me
2AF61CC8,3.6180000000000003,Uncle Tupelo,Rock,Satan Your Kingdom Must Come Down
8D9EF682,17.327,Al Fraser,Avant Garde: Sound Sculpture,Korimako
9AFDD801,3.0,Carlinhos Brown,World Music,Magalenha
BA52E24A,14.919,Tangina Stone,R&B/Soul,Confidence (Intro)
88B2C4F9,0.1,Jackson Sisters,Pop,I Believe In Miracles
7804E6B,2.719,Supa V,World: African,Super Hero
4FEE2AD7,23.092,Adrian Modiggård,Pop,Galantis
